25	E501  	line-too-long
23	UP042 	replace-str-enum
22	ANN001	missing-type-function-argument
19	ANN401	any-type
16	E402  	module-import-not-at-top-of-file
 8	ANN201	missing-return-type-undocumented-public-function
 8	ANN202	missing-return-type-private-function
 3	F841  	unused-variable
 3	N818  	error-suffix-on-exception-name
 2	ANN003	missing-type-kwargs
 2	B017  	assert-raises-exception
 2	B905  	zip-without-explicit-strict
 2	N806  	non-lowercase-variable-in-function
 2	SIM102	collapsible-if
 2	SIM103	needless-bool
 2	UP007 	non-pep604-annotation-union
 1	ANN204	missing-return-type-special-method
 1	B007  	unused-loop-control-variable
Found 143 errors.
No fixes available (36 hidden fixes can be enabled with the `--unsafe-fixes` option).
